GameID,RoundID,ActionID,Street,PlayerID,PlayerName,ModelName,Temperature,Position,HoleCard1,HoleCard2,BoardCards,StackBefore,PotTotalBefore,BetToCall,ActionType,ActionAmount,AmountWon,FinalHandRank
14,1,1,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,BB,Qh,As,,990,15,0,DEALT_HOLE,0,0,
14,1,2,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BTN,8h,Ks,,1000,15,0,DEALT_HOLE,0,0,
14,1,3,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,SB,7s,4s,,995,15,0,DEALT_HOLE,0,0,
14,1,4,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,SB,7s,4s,,995,15,0,POST_SB,0,0,
14,1,5,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,BB,Qh,As,,990,15,0,POST_BB,0,0,
14,1,6,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.5,BTN,8h,Ks,,990,15,0,CALL,10,0,
14,1,7,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.5,SB,7s,4s,,990,25,0,CALL,5,0,
14,1,8,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.5,BB,Qh,As,,990,30,0,CHECK,0,0,
14,1,9,Flop,,,,,,,,2s Js 4d,0,30,0,DEALT_FLOP,0,0,
14,1,10,Flop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.5,SB,7s,4s,2s Js 4d,990,30,0,CHECK,0,0,
14,1,11,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.5,BB,Qh,As,2s Js 4d,990,30,0,CHECK,0,0,
14,1,12,Flop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.5,BTN,8h,Ks,2s Js 4d,970,30,0,BET,20,0,
14,1,13,Flop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.5,SB,7s,4s,2s Js 4d,970,50,0,CALL,20,0,
14,1,14,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.5,BB,Qh,As,2s Js 4d,970,70,0,CALL,20,0,
14,1,15,Turn,,,,,,,,2s Js 4d 6s,0,90,0,DEALT_TURN,0,0,
14,1,16,Turn,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.5,SB,7s,4s,2s Js 4d 6s,970,90,0,CHECK,0,0,
14,1,17,Turn,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.5,BB,Qh,As,2s Js 4d 6s,970,90,0,CHECK,0,0,
