GameID,RoundID,ActionID,Street,PlayerID,PlayerName,ModelName,Temperature,Position,HoleCard1,HoleCard2,BoardCards,StackBefore,PotTotalBefore,BetToCall,ActionType,ActionAmount,AmountWon,FinalHandRank
15,1,1,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BB,Qs,4h,,990,15,0,DEALT_HOLE,0,0,
15,1,2,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BTN,3c,9d,,1000,15,0,DEALT_HOLE,0,0,
15,1,3,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,SB,Ad,Td,,995,15,0,DEALT_HOLE,0,0,
15,1,4,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,SB,Ad,Td,,995,15,0,POST_SB,0,0,
15,1,5,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BB,Qs,4h,,990,15,0,POST_BB,0,0,
15,1,6,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BTN,3c,9d,,990,15,0,CALL,10,0,
15,1,7,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,SB,Ad,Td,,990,25,0,CALL,5,0,
15,1,8,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,Qs,4h,,990,30,0,CHECK,0,0,
15,1,9,Flop,,,,,,,,Jh Kc Jd,0,30,0,DEALT_FLOP,0,0,
15,1,10,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,SB,Ad,Td,Jh Kc Jd,990,30,0,CHECK,0,0,
15,1,11,Flop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,Qs,4h,Jh Kc Jd,990,30,0,CHECK,0,0,
15,1,12,Flop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BTN,3c,9d,Jh Kc Jd,990,30,0,CHECK,0,0,
15,1,13,Turn,,,,,,,,Jh Kc Jd 3s,0,30,0,DEALT_TURN,0,0,
15,1,14,Turn,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,SB,Ad,Td,Jh Kc Jd 3s,990,30,0,CHECK,0,0,
15,1,15,Turn,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,Qs,4h,Jh Kc Jd 3s,970,30,0,BET,20,0,
15,1,16,Turn,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BTN,3c,9d,Jh Kc Jd 3s,970,50,0,CALL,20,0,
15,1,17,Turn,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,SB,Ad,Td,Jh Kc Jd 3s,990,70,0,FOLD,0,0,
15,1,18,River,,,,,,,,Jh Kc Jd 3s Ah,0,70,0,DEALT_RIVER,0,0,
15,1,19,River,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,Qs,4h,Jh Kc Jd 3s Ah,970,70,0,CHECK,0,0,
15,2,1,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,SB,3d,8h,,965,15,0,DEALT_HOLE,0,0,
15,2,2,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BB,9s,Jd,,1030,15,0,DEALT_HOLE,0,0,
15,2,3,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,BTN,4d,8c,,990,15,0,DEALT_HOLE,0,0,
15,2,4,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,SB,3d,8h,,965,15,0,POST_SB,0,0,
15,2,5,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BB,9s,Jd,,1030,15,0,POST_BB,0,0,
15,2,6,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BTN,4d,8c,,940,15,0,BET,40,0,
15,2,7,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,SB,3d,8h,,900,65,0,RAISE,20,0,
15,2,8,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BB,9s,Jd,,970,130,0,CALL,60,0,
15,2,9,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BTN,4d,8c,,830,190,0,RAISE,90,0,
15,2,10,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,SB,3d,8h,,410,300,0,RAISE,400,0,
15,2,11,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BB,9s,Jd,,380,790,0,RAISE,100,0,
15,2,12,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BTN,4d,8c,,830,1380,0,FOLD,0,0,
15,2,13,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,SB,3d,8h,,410,1380,0,FOLD,0,0,
15,2,14,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BB,9s,Jd,,1760,1380,0,WINS_POT,0,1380,Premature Win
15,3,1,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BTN,Ad,9d,,410,15,0,DEALT_HOLE,0,0,
15,3,2,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,SB,7h,6d,,1755,15,0,DEALT_HOLE,0,0,
15,3,3,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,BB,8h,2d,,820,15,0,DEALT_HOLE,0,0,
15,3,4,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,SB,7h,6d,,1755,15,0,POST_SB,0,0,
15,3,5,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,BB,8h,2d,,820,15,0,POST_BB,0,0,
15,3,6,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BTN,Ad,9d,,150,15,0,BET,250,0,
15,3,7,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,SB,7h,6d,,1500,275,0,CALL,255,0,
15,3,8,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BB,8h,2d,,20,530,0,RAISE,550,0,
15,3,9,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BTN,Ad,9d,,150,1330,0,FOLD,0,0,
15,3,10,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,SB,7h,6d,,950,1330,0,CALL,550,0,
15,3,11,Flop,,,,,,,,5c 3h 3d,0,1880,0,DEALT_FLOP,0,0,
15,3,12,Flop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,SB,7h,6d,5c 3h 3d,950,1880,0,CHECK,0,0,
15,3,13,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BB,8h,2d,5c 3h 3d,20,1880,0,CHECK,0,0,
15,3,14,Turn,,,,,,,,5c 3h 3d 9s,0,1880,0,DEALT_TURN,0,0,
15,3,15,Turn,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,SB,7h,6d,5c 3h 3d 9s,950,1880,0,CHECK,0,0,
15,3,16,Turn,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BB,8h,2d,5c 3h 3d 9s,20,1880,0,CHECK,0,0,
15,3,17,River,,,,,,,,5c 3h 3d 9s 8c,0,1880,0,DEALT_RIVER,0,0,
15,3,18,River,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,SB,7h,6d,5c 3h 3d 9s 8c,950,1880,0,CHECK,0,0,
15,3,19,River,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,BB,8h,2d,5c 3h 3d 9s 8c,20,1880,0,FOLD,0,0,
15,3,20,River,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,SB,7h,6d,5c 3h 3d 9s 8c,2830,1880,0,WINS_POT,0,1880,Premature Win
15,4,1,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BB,6c,3c,,140,15,0,DEALT_HOLE,0,0,
15,4,2,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BTN,5d,2s,,2830,15,0,DEALT_HOLE,0,0,
15,4,3,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,SB,As,Jh,,15,15,0,DEALT_HOLE,0,0,
15,4,4,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,SB,As,Jh,,15,15,0,POST_SB,0,0,
15,4,5,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BB,6c,3c,,140,15,0,POST_BB,0,0,
15,4,6,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BTN,5d,2s,,2820,15,0,CALL,10,0,
15,4,7,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,SB,As,Jh,,10,25,0,CALL,5,0,
15,4,8,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,6c,3c,,110,30,0,BET,30,0,
15,4,9,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0,BTN,5d,2s,,2760,60,0,RAISE,30,0,
15,4,10,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,1.0,SB,As,Jh,,10,120,0,FOLD,0,0,
15,4,11,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,6c,3c,,80,120,0,CALL,30,0,
15,4,12,Flop,,,,,,,,5s Qd 7h,0,150,0,DEALT_FLOP,0,0,
15,4,13,Flop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1.0,BB,6c,3c,5s Qd 7h,80,150,0,CHECK,0,0,
