GameID,RoundID,ActionID,Street,PlayerID,PlayerName,ModelName,Temperature,Position,HoleCard1,HoleCard2,BoardCards,StackBefore,PotTotalBefore,BetToCall,ActionType,ActionAmount,AmountWon,FinalHandRank
10,1,1,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BB,Js,5h,,990,15,0,DEALT_HOLE,0,0,
10,1,2,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BTN,Ad,6d,,1000,15,0,DEALT_HOLE,0,0,
10,1,3,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,SB,3h,Tc,,995,15,0,DEALT_HOLE,0,0,
10,1,4,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,SB,3h,Tc,,995,15,0,POST_SB,0,0,
10,1,5,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,BB,Js,5h,,990,15,0,POST_BB,0,0,
10,1,6,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BTN,Ad,6d,,990,15,0,CALL,10,0,
10,1,7,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,SB,3h,Tc,,990,25,0,CALL,5,0,
10,1,8,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,BB,Js,5h,,990,30,0,CHECK,0,0,
10,1,9,Flop,,,,,,,,Ah 9d 3c,0,30,0,DEALT_FLOP,0,0,
10,1,10,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,SB,3h,Tc,Ah 9d 3c,990,30,0,CHECK,0,0,
10,1,11,Flop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,BB,Js,5h,Ah 9d 3c,940,30,0,BET,50,0,
10,1,12,Flop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BTN,Ad,6d,Ah 9d 3c,890,80,0,RAISE,50,0,
10,1,13,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,SB,3h,Tc,Ah 9d 3c,990,180,0,FOLD,0,0,
10,1,14,Flop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,BB,Js,5h,Ah 9d 3c,890,180,0,CALL,50,0,
10,1,15,Turn,,,,,,,,Ah 9d 3c 8d,0,230,0,DEALT_TURN,0,0,
10,1,16,Turn,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,BB,Js,5h,Ah 9d 3c 8d,690,230,0,BET,200,0,
10,1,17,Turn,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BTN,Ad,6d,Ah 9d 3c 8d,490,430,0,RAISE,200,0,
10,1,18,Turn,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,BB,Js,5h,Ah 9d 3c 8d,490,830,0,CALL,200,0,
