player_id,player_name,model_name,ending_stack,rounds_played,round_id,folds,checks,calls,raises,allins,simulation_index
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1020,501,1.0,0.0,3.0,1.0,0.0,0.0,1
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,990,501,1.0,0.0,4.0,0.0,0.0,0.0,1
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,501,1.0,0.0,3.0,1.0,0.0,0.0,1
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1335,501,10.0,1.0,10.0,2.0,2.0,0.0,2
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,895,501,10.0,0.0,11.0,4.0,3.0,0.0,2
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,770,501,10.0,2.0,4.0,4.0,1.0,0.0,2
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1020,501,1.0,0.0,3.0,1.0,0.0,0.0,3
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,990,501,1.0,0.0,4.0,0.0,0.0,0.0,3
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,501,1.0,0.0,3.0,1.0,0.0,0.0,3
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1020,501,1.0,0.0,3.0,1.0,0.0,0.0,4
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,990,501,1.0,0.0,4.0,0.0,0.0,0.0,4
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,990,501,1.0,0.0,3.0,1.0,0.0,0.0,4
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1500,501,1.0,0.0,0.0,1.0,2.0,0.0,5
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,850,501,1.0,1.0,0.0,0.0,1.0,0.0,5
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,650,501,1.0,1.0,1.0,0.0,1.0,0.0,5
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1050,501,3.0,0.0,7.0,0.0,1.0,0.0,6
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,980,501,3.0,1.0,3.0,2.0,0.0,0.0,6
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,970,501,3.0,1.0,3.0,1.0,0.0,0.0,6
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1005,501,3.0,1.0,4.0,0.0,0.0,0.0,7
