player_id,player_name,model_name,ending_stack,rounds_played,round_id,folds,checks,calls,raises,allins,simulation_index
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1250,501,3,0,5,0,3,0,1
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,501,3,2,0,0,0,0,1
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,760,501,3,0,4,4,1,0,1
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1040,501,3,1,2,1,1,0,2
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,980,501,3,1,7,0,1,0,2
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,980,501,3,1,3,2,0,0,2
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1010,501,1,0,3,1,0,0,3
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1000,501,1,1,0,0,0,0,3
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,990,501,1,0,4,0,0,0,3
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1010,501,1,0,3,1,0,0,4
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1000,501,1,1,0,0,0,0,4
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,990,501,1,0,4,0,0,0,4
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1630,501,28,1,18,7,2,0,5
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1060,501,28,3,13,2,3,0,5
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,310,501,28,3,13,2,3,0,5
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1020,501,1,0,1,0,1,0,6
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,501,1,1,0,1,0,0,6
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,990,501,1,1,1,1,0,0,6
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1070,501,3,0,6,1,1,0,7
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,980,501,3,1,4,1,0,0,7
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,950,501,3,0,6,3,0,0,7
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1410,501,1,0,3,1,1,0,8
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,905,501,1,1,0,0,1,0,8
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,685,501,1,0,2,1,2,0,8
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1010,501,3,0,6,2,0,0,9
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1000,501,3,0,7,1,0,0,9
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,501,3,1,4,0,0,0,9
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1050,501,1,0,3,2,0,0,10
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,501,1,1,0,1,0,0,10
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,960,501,1,0,3,0,1,0,10
