round_id,turn_index,player_id,player_name,model_name,action,ending_stack,player_hand,pot_size,player_position,board_cards,simulation_index
1,1,2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,TURN_START,1000,5♦ 5♣,15,3,,1
1,2,2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,CALL,990,5♦ 5♣,25,3,,1
1,3,3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,TURN_START,995,A♦ 3♦,25,1,,1
1,4,3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,CALL,990,A♦ 3♦,30,1,,1
1,5,1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,TURN_START,990,7♠ Q♠,30,2,,1
1,6,1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,CHECK,990,7♠ Q♠,30,2,J♣ 2♥ 4♥,1
1,7,3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,TURN_START,990,A♦ 3♦,30,1,J♣ 2♥ 4♥,1
1,8,3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,CHECK,990,A♦ 3♦,30,1,J♣ 2♥ 4♥,1
1,9,1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,TURN_START,990,7♠ Q♠,30,2,J♣ 2♥ 4♥,1
1,10,1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,CHECK,990,7♠ Q♠,30,2,J♣ 2♥ 4♥,1
1,11,2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,TURN_START,990,5♦ 5♣,30,3,J♣ 2♥ 4♥,1
1,12,2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,CHECK,990,5♦ 5♣,30,3,J♣ 2♥ 4♥ 7♣,1
1,13,3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,TURN_START,990,A♦ 3♦,30,1,J♣ 2♥ 4♥ 7♣,1
1,14,3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,CHECK,990,A♦ 3♦,30,1,J♣ 2♥ 4♥ 7♣,1
1,15,1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,TURN_START,990,7♠ Q♠,30,2,J♣ 2♥ 4♥ 7♣,1
1,16,1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,RAISE_30,960,7♠ Q♠,60,2,J♣ 2♥ 4♥ 7♣,1
1,17,2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,TURN_START,990,5♦ 5♣,60,3,J♣ 2♥ 4♥ 7♣,1
